# r_kpc   Phi_(km/s)^2   g_(km/s)^2/kpc
2.19213138e-02 -2.65535806e+08 9.82489185e+07
2.19789328e-02 -2.65530145e+08 9.82460374e+07
2.20367033e-02 -2.65524470e+08 9.82431490e+07
2.20946255e-02 -2.65518779e+08 9.82402530e+07
2.21527001e-02 -2.65513074e+08 9.82373495e+07
2.22109272e-02 -2.65507354e+08 9.82344385e+07
2.22693075e-02 -2.65501619e+08 9.82315199e+07
2.23278411e-02 -2.65495870e+08 9.82285937e+07
2.23865287e-02 -2.65490105e+08 9.82256600e+07
2.24453705e-02 -2.65484325e+08 9.82227186e+07
2.25043669e-02 -2.65478531e+08 9.82197696e+07
2.25635184e-02 -2.65472721e+08 9.82168130e+07
2.26228254e-02 -2.65466896e+08 9.82138487e+07
2.26822883e-02 -2.65461056e+08 9.82108767e+07
2.27419074e-02 -2.65455201e+08 9.82078970e+07
2.28016833e-02 -2.65449330e+08 9.82049096e+07
2.28616163e-02 -2.65443445e+08 9.82019144e+07
2.29217068e-02 -2.65437544e+08 9.81989114e+07
2.29819553e-02 -2.65431628e+08 9.81959007e+07
2.30423621e-02 -2.65425696e+08 9.81928821e+07
2.31029277e-02 -2.65419749e+08 9.81898558e+07
2.31636525e-02 -2.65413787e+08 9.81868215e+07
2.32245369e-02 -2.65407809e+08 9.81837794e+07
2.32855814e-02 -2.65401815e+08 9.81807295e+07
2.33467863e-02 -2.65395806e+08 9.81776716e+07
2.34081520e-02 -2.65389781e+08 9.81746058e+07
2.34696791e-02 -2.65383741e+08 9.81715320e+07
2.35313679e-02 -2.65377685e+08 9.81684503e+07
2.35932188e-02 -2.65371613e+08 9.81653605e+07
2.36552323e-02 -2.65365526e+08 9.81622628e+07
2.37174088e-02 -2.65359423e+08 9.81591570e+07
2.37797488e-02 -2.65353303e+08 9.81560432e+07
2.38422525e-02 -2.65347168e+08 9.81529213e+07
2.39049206e-02 -2.65341017e+08 9.81497913e+07
2.39677534e-02 -2.65334851e+08 9.81466532e+07
2.40307514e-02 -2.65328668e+08 9.81435070e+07
2.40939149e-02 -2.65322469e+08 9.81403526e+07
2.41572444e-02 -2.65316254e+08 9.81371901e+07
2.42207404e-02 -2.65310022e+08 9.81340193e+07
2.42844034e-02 -2.65303775e+08 9.81308403e+07
2.43482336e-02 -2.65297511e+08 9.81276531e+07
2.44122316e-02 -2.65291231e+08 9.81244576e+07
2.44763979e-02 -2.65284935e+08 9.81212539e+07
2.45407327e-02 -2.65278623e+08 9.81180418e+07
2.46052367e-02 -2.65272294e+08 9.81148215e+07
2.46699103e-02 -2.65265949e+08 9.81115927e+07
2.47347538e-02 -2.65259587e+08 9.81083557e+07
2.47997678e-02 -2.65253208e+08 9.81051102e+07
2.48649526e-02 -2.65246814e+08 9.81018563e+07
2.49303088e-02 -2.65240402e+08 9.80985940e+07
2.49958368e-02 -2.65233974e+08 9.80953232e+07
2.50615370e-02 -2.65227529e+08 9.80920440e+07
2.51274099e-02 -2.65221068e+08 9.80887563e+07
2.51934559e-02 -2.65214589e+08 9.80854600e+07
2.52596755e-02 -2.65208094e+08 9.80821553e+07
2.53260692e-02 -2.65201582e+08 9.80788419e+07
2.53926374e-02 -2.65195054e+08 9.80755200e+07
2.54593806e-02 -2.65188508e+08 9.80721895e+07
2.55262992e-02 -2.65181945e+08 9.80688503e+07
2.55933937e-02 -2.65175365e+08 9.80655025e+07
2.56606646e-02 -2.65168769e+08 9.80621461e+07
2.57281123e-02 -2.65162155e+08 9.80587809e+07
2.57957372e-02 -2.65155523e+08 9.80554070e+07
2.58635399e-02 -2.65148875e+08 9.80520244e+07
2.59315208e-02 -2.65142210e+08 9.80486331e+07
2.59996804e-02 -2.65135527e+08 9.80452329e+07
2.60680192e-02 -2.65128827e+08 9.80418240e+07
2.61365376e-02 -2.65122109e+08 9.80384062e+07
2.62052360e-02 -2.65115374e+08 9.80349796e+07
2.62741151e-02 -2.65108622e+08 9.80315441e+07
2.63431752e-02 -2.65101852e+08 9.80280997e+07
2.64124168e-02 -2.65095064e+08 9.80246464e+07
2.64818404e-02 -2.65088259e+08 9.80211842e+07
2.65514465e-02 -2.65081436e+08 9.80177130e+07
2.66212355e-02 -2.65074596e+08 9.80142328e+07
2.66912080e-02 -2.65067738e+08 9.80107436e+07
2.67613644e-02 -2.65060862e+08 9.80072454e+07
2.68317052e-02 -2.65053968e+08 9.80037381e+07
2.69022309e-02 -2.65047056e+08 9.80002218e+07
2.69729420e-02 -2.65040127e+08 9.79966964e+07
2.70438389e-02 -2.65033179e+08 9.79931618e+07
2.71149222e-02 -2.65026214e+08 9.79896181e+07
2.71861923e-02 -2.65019230e+08 9.79860652e+07
2.72576497e-02 -2.65012228e+08 9.79825032e+07
2.73292950e-02 -2.65005209e+08 9.79789319e+07
2.74011285e-02 -2.64998170e+08 9.79753513e+07
2.74731509e-02 -2.64991114e+08 9.79717616e+07
2.75453626e-02 -2.64984040e+08 9.79681625e+07
2.76177641e-02 -2.64976947e+08 9.79645541e+07
2.76903559e-02 -2.64969835e+08 9.79609364e+07
2.77631385e-02 -2.64962706e+08 9.79573093e+07
2.78361124e-02 -2.64955557e+08 9.79536729e+07
2.79092782e-02 -2.64948391e+08 9.79500270e+07
2.79826362e-02 -2.64941205e+08 9.79463718e+07
2.80561870e-02 -2.64934002e+08 9.79427070e+07
2.81299312e-02 -2.64926779e+08 9.79390328e+07
2.82038692e-02 -2.64919538e+08 9.79353491e+07
2.82780016e-02 -2.64912278e+08 9.79316559e+07
2.83523288e-02 -2.64904999e+08 9.79279531e+07
2.84268513e-02 -2.64897701e+08 9.79242408e+07
2.85015698e-02 -2.64890385e+08 9.79205188e+07
2.85764846e-02 -2.64883049e+08 9.79167872e+07
2.86515964e-02 -2.64875694e+08 9.79130460e+07
2.87269055e-02 -2.64868321e+08 9.79092951e+07
2.88024126e-02 -2.64860928e+08 9.79055345e+07
2.88781182e-02 -2.64853516e+08 9.79017642e+07
2.89540228e-02 -2.64846085e+08 9.78979842e+07
2.90301269e-02 -2.64838635e+08 9.78941944e+07
2.91064310e-02 -2.64831165e+08 9.78903948e+07
2.91829357e-02 -2.64823676e+08 9.78865853e+07
2.92596415e-02 -2.64816168e+08 9.78827661e+07
2.93365489e-02 -2.64808640e+08 9.78789369e+07
2.94136584e-02 -2.64801093e+08 9.78750979e+07
2.94909706e-02 -2.64793526e+08 9.78712489e+07
2.95684860e-02 -2.64785940e+08 9.78673900e+07
2.96462052e-02 -2.64778334e+08 9.78635212e+07
2.97241286e-02 -2.64770708e+08 9.78596423e+07
2.98022569e-02 -2.64763063e+08 9.78557534e+07
2.98805905e-02 -2.64755397e+08 9.78518545e+07
2.99591300e-02 -2.64747712e+08 9.78479455e+07
3.00378760e-02 -2.64740007e+08 9.78440264e+07
3.01168289e-02 -2.64732282e+08 9.78400972e+07
3.01959894e-02 -2.64724538e+08 9.78361578e+07
3.02753579e-02 -2.64716773e+08 9.78322083e+07
3.03549351e-02 -2.64708988e+08 9.78282486e+07
3.04347214e-02 -2.64701182e+08 9.78242786e+07
3.05147174e-02 -2.64693357e+08 9.78202984e+07
3.05949237e-02 -2.64685511e+08 9.78163079e+07
3.06753408e-02 -2.64677645e+08 9.78123071e+07
3.07559693e-02 -2.64669759e+08 9.78082960e+07
3.08368097e-02 -2.64661852e+08 9.78042745e+07
3.09178626e-02 -2.64653925e+08 9.78002427e+07
3.09991285e-02 -2.64645978e+08 9.77962004e+07
3.10806080e-02 -2.64638009e+08 9.77921477e+07
3.11623017e-02 -2.64630020e+08 9.77880845e+07
3.12442102e-02 -2.64622011e+08 9.77840109e+07
3.13263339e-02 -2.64613981e+08 9.77799267e+07
3.14086735e-02 -2.64605930e+08 9.77758320e+07
3.14912295e-02 -2.64597858e+08 9.77717268e+07
3.15740024e-02 -2.64589765e+08 9.77676109e+07
3.16569930e-02 -2.64581652e+08 9.77634844e+07
3.17402017e-02 -2.64573517e+08 9.77593473e+07
3.18236291e-02 -2.64565361e+08 9.77551995e+07
3.19072758e-02 -2.64557185e+08 9.77510410e+07
3.19911424e-02 -2.64548987e+08 9.77468717e+07
3.20752293e-02 -2.64540768e+08 9.77426917e+07
3.21595374e-02 -2.64532527e+08 9.77385010e+07
3.22440670e-02 -2.64524266e+08 9.77342994e+07
3.23288187e-02 -2.64515983e+08 9.77300870e+07
3.24137933e-02 -2.64507678e+08 9.77258637e+07
3.24989912e-02 -2.64499353e+08 9.77216295e+07
3.25844131e-02 -2.64491005e+08 9.77173844e+07
3.26700594e-02 -2.64482636e+08 9.77131284e+07
3.27559309e-02 -2.64474246e+08 9.77088613e+07
3.28420281e-02 -2.64465833e+08 9.77045833e+07
3.29283516e-02 -2.64457399e+08 9.77002943e+07
3.30149020e-02 -2.64448944e+08 9.76959941e+07
3.31016799e-02 -2.64440466e+08 9.76916829e+07
3.31886859e-02 -2.64431966e+08 9.76873606e+07
3.32759205e-02 -2.64423445e+08 9.76830272e+07
3.33633845e-02 -2.64414901e+08 9.76786825e+07
3.34510783e-02 -2.64406336e+08 9.76743267e+07
3.35390027e-02 -2.64397748e+08 9.76699597e+07
3.36271582e-02 -2.64389138e+08 9.76655813e+07
3.37155453e-02 -2.64380506e+08 9.76611918e+07
3.38041648e-02 -2.64371851e+08 9.76567908e+07
3.38930172e-02 -2.64363174e+08 9.76523786e+07
3.39821032e-02 -2.64354475e+08 9.76479550e+07
3.40714233e-02 -2.64345753e+08 9.76435200e+07
3.41609782e-02 -2.64337009e+08 9.76390735e+07
3.42507685e-02 -2.64328242e+08 9.76346156e+07
3.43407948e-02 -2.64319453e+08 9.76301462e+07
3.44310577e-02 -2.64310641e+08 9.76256653e+07
3.45215579e-02 -2.64301806e+08 9.76211729e+07
3.46122960e-02 -2.64292948e+08 9.76166689e+07
3.47032725e-02 -2.64284067e+08 9.76121533e+07
3.47944882e-02 -2.64275164e+08 9.76076260e+07
3.48859436e-02 -2.64266237e+08 9.76030871e+07
3.49776394e-02 -2.64257288e+08 9.75985365e+07
3.50695763e-02 -2.64248315e+08 9.75939742e+07
3.51617548e-02 -2.64239319e+08 9.75894001e+07
3.52541755e-02 -2.64230300e+08 9.75848143e+07
3.53468392e-02 -2.64221258e+08 9.75802166e+07
3.54397465e-02 -2.64212192e+08 9.75756072e+07
3.55328979e-02 -2.64203103e+08 9.75709858e+07
3.56262942e-02 -2.64193990e+08 9.75663526e+07
3.57199360e-02 -2.64184854e+08 9.75617074e+07
3.58138240e-02 -2.64175695e+08 9.75570502e+07
3.59079587e-02 -2.64166511e+08 9.75523811e+07
3.60023408e-02 -2.64157304e+08 9.75477000e+07
3.60969710e-02 -2.64148074e+08 9.75430068e+07
3.61918499e-02 -2.64138819e+08 9.75383015e+07
3.62869783e-02 -2.64129541e+08 9.75335842e+07
3.63823566e-02 -2.64120238e+08 9.75288546e+07
3.64779857e-02 -2.64110912e+08 9.75241130e+07
3.65738661e-02 -2.64101561e+08 9.75193591e+07
3.66699985e-02 -2.64092187e+08 9.75145930e+07
